userId,movieId,rating,movieIndex
190,1,5.0,10
190,32,5.0,19
190,47,4.0,23
190,50,5.0,14
190,110,5.0,6
190,150,5.0,12
190,153,3.0,46
190,165,4.0,41
190,296,5.0,0
190,318,5.0,2
190,344,3.0,32
190,356,5.0,1
190,364,4.0,31
190,367,4.0,39
190,377,5.0,26
190,380,5.0,24
190,457,5.0,11
190,480,5.0,4
190,500,5.0,38
190,527,5.0,9
190,589,5.0,7
190,590,5.0,20
190,592,4.0,16
190,593,5.0,3
190,597,5.0,42
190,608,4.0,22
190,648,4.0,34
190,736,4.0,49
190,780,5.0,13
190,858,5.0,28
190,1097,5.0,47
190,1136,5.0,44
190,1196,5.0,17
190,1198,5.0,21
190,1210,5.0,15
190,1240,5.0,43
190,1270,4.0,27
190,1580,5.0,36
190,2028,5.0,35
190,2571,5.0,8
190,2762,5.0,30
190,2858,5.0,18
190,2959,5.0,29
190,3578,5.0,45
190,4993,5.0,33
190,5952,5.0,40
926,1,4.0,10
926,32,3.0,19
926,47,3.5,23
926,50,4.5,14
926,110,3.5,6
926,150,5.0,12
926,165,3.5,41
926,260,4.5,5
926,296,5.0,0
926,318,4.5,2
926,344,3.0,32
926,356,1.0,1
926,364,3.5,31
926,367,3.5,39
926,377,2.0,26
926,380,3.5,24
926,457,5.0,11
926,480,4.5,4
926,527,4.5,9
926,588,4.5,25
926,589,2.5,7
926,590,2.0,20
926,592,3.0,16
926,593,4.5,3
926,595,4.0,37
926,597,0.5,42
926,608,4.0,22
926,648,0.5,34
926,736,2.5,49
926,780,4.0,13
926,858,5.0,28
926,1097,4.5,47
926,1136,4.5,44
926,1196,4.0,17
926,1197,4.0,48
926,1198,5.0,21
926,1210,4.0,15
926,1240,4.0,43
926,1270,4.0,27
926,1580,1.5,36
926,2028,4.0,35
926,2571,3.0,8
926,2762,3.0,30
926,2858,3.5,18
926,2959,4.0,29
926,3578,4.0,45
926,4993,4.0,33
926,5952,4.0,40
901,1,5.0,10
901,32,3.0,19
